cohort,draw,alpha,stratum,n_lesions,n_patients,rate,cp_lo,cp_hi,boot_lo,boot_hi
hiba,3,0.15,M3,11,10,0.0,0.0,0.2849141529181544,0.0,0.0
hiba,3,0.15,B,180,76,0.14444444444444443,0.09657618127591992,0.20443933609366655,0.0658363811743901,0.21757538569424964
pad,3,0.05,M1,26,15,0.0,0.0,0.1322746044977541,0.0,0.0
pad,3,0.05,M2,156,106,0.0,0.0,0.023369271591380202,0.0,0.0
pad,3,0.05,M3,89,56,0.0,0.0,0.04060085754963182,0.0,0.0
pad,3,0.05,B,22,18,0.0,0.0,0.15437251281557457,0.0,0.0
pad,3,0.1,M1,26,15,0.0,0.0,0.1322746044977541,0.0,0.0
pad,3,0.1,M2,156,106,0.0,0.0,0.023369271591380202,0.0,0.0
pad,3,0.1,M3,89,56,0.0,0.0,0.04060085754963182,0.0,0.0
pad,3,0.1,B,22,18,0.045454545454545456,0.0011501475265735762,0.22844439766763341,0.0,0.15414473684210508
pad,3,0.15,M1,26,15,0.0,0.0,0.1322746044977541,0.0,0.0
pad,3,0.15,M2,156,106,0.0,0.0,0.023369271591380202,0.0,0.0
pad,3,0.15,M3,89,56,0.0,0.0,0.04060085754963182,0.0,0.0
pad,3,0.15,B,22,18,0.045454545454545456,0.0011501475265735762,0.22844439766763341,0.0,0.13636363636363635
hiba,4,0.05,M1,19,11,0.0,0.0,0.17646691180696533,0.0,0.0
hiba,4,0.05,M2,123,85,0.0,0.0,0.029545625527072385,0.0,0.0
hiba,4,0.05,M3,14,12,0.0,0.0,0.23163576165011648,0.0,0.0
hiba,4,0.05,B,208,75,0.0,0.0,0.017578657900630724,0.0,0.0
hiba,4,0.1,M1,19,11,0.0,0.0,0.17646691180696533,0.0,0.0
hiba,4,0.1,M2,123,85,0.0,0.0,0.029545625527072385,0.0,0.0
hiba,4,0.1,M3,14,12,0.0,0.0,0.23163576165011648,0.0,0.0
hiba,4,0.1,B,208,75,0.0673076923076923,0.03728345098474616,0.11035296320388932,0.03058885126102843,0.10948737157534245
hiba,4,0.15,M1,19,11,0.0,0.0,0.17646691180696533,0.0,0.0
hiba,4,0.15,M2,123,85,0.016260162601626018,0.001975282956072543,0.057502934587719094,0.0,0.04
hiba,4,0.15,M3,14,12,0.0,0.0,0.23163576165011648,0.0,0.0
hiba,4,0.15,B,208,75,0.13942307692307693,0.0954031979477212,0.19406012731906613,0.050129747581976886,0.24774774774774774
pad,4,0.05,M1,29,16,0.0,0.0,0.11944486906950269,0.0,0.0
pad,4,0.05,M2,159,112,0.0,0.0,0.02293343743096093,0.0,0.0
pad,4,0.05,M3,69,45,0.0,0.0,0.05205805786307967,0.0,0.0
pad,4,0.05,B,16,16,0.0,0.0,0.2059072142078227,0.0,0.0
pad,4,0.1,M1,29,16,0.0,0.0,0.11944486906950269,0.0,0.0
pad,4,0.1,M2,159,112,0.0,0.0,0.02293343743096093,0.0,0.0
pad,4,0.1,M3,69,45,0.0,0.0,0.05205805786307967,0.0,0.0
pad,4,0.1,B,16,16,0.0625,0.0015811117227658884,0.3023207384345319,0.0,0.1875
pad,4,0.15,M1,29,16,0.0,0.0,0.11944486906950269,0.0,0.0
pad,4,0.15,M2,159,112,0.0,0.0,0.02293343743096093,0.0,0.0
pad,4,0.15,M3,69,45,0.0,0.0,0.05205805786307967,0.0,0.0
pad,4,0.15,B,16,16,0.125,0.015513603815413893,0.38347623684926346,0.0,0.3125
hiba,5,0.05,M1,22,14,0.0,0.0,0.15437251281557457,0.0,0.0
hiba,5,0.05,M2,116,90,0.0,0.0,0.03130036074328996,0.0,0.0
hiba,5,0.05,M3,24,16,0.0,0.0,0.14247359772252563,0.0,0.0
hiba,5,0.05,B,149,65,0.0,0.0,0.024453624905590006,0.0,0.0
hiba,5,0.1,M1,22,14,0.0,0.0,0.15437251281557457,0.0,0.0
hiba,5,0.1,M2,116,90,0.0,0.0,0.03130036074328996,0.0,0.0
hiba,5,0.1,M3,24,16,0.0,0.0,0.14247359772252563,0.0,0.0
hiba,5,0.1,B,149,65,0.013422818791946308,0.0016297194672117439,0.04764512133261738,0.0,0.030088195386702838
hiba,5,0.15,M1,22,14,0.0,0.0,0.15437251281557457,0.0,0.0
hiba,5,0.15,M2,116,90,0.008620689655172414,0.00021823314906306462,0.04709553622664744,0.0,0.027837837837837803
hiba,5,0.15,M3,24,16,0.0,0.0,0.14247359772252563,0.0,0.0
hiba,5,0.15,B,149,65,0.12080536912751678,0.07319250507449944,0.18419193959853636,0.04038775510204082,0.20060344827586205
pad,5,0.05,M1,42,24,0.0,0.0,0.08408385494035514,0.0,0.0
pad,5,0.05,M2,174,114,0.0,0.0,0.020977306694394248,0.0,0.0
pad,5,0.05,M3,87,54,0.0,0.0,0.041514565992637815,0.0,0.0
pad,5,0.05,B,12,12,0.0,0.0,0.26464846939705117,0.0,0.0
pad,5,0.1,M1,42,24,0.0,0.0,0.08408385494035514,0.0,0.0
pad,5,0.1,M2,174,114,0.0,0.0,0.020977306694394248,0.0,0.0
pad,5,0.1,M3,87,54,0.0,0.0,0.041514565992637815,0.0,0.0
pad,5,0.1,B,12,12,0.08333333333333333,0.0021075932318602286,0.38479616515094406,0.0,0.25
pad,5,0.15,M1,42,24,0.0,0.0,0.08408385494035514,0.0,0.0
pad,5,0.15,M2,174,114,0.0,0.0,0.020977306694394248,0.0,0.0
pad,5,0.15,M3,87,54,0.0,0.0,0.041514565992637815,0.0,0.0
pad,5,0.15,B,12,12,0.08333333333333333,0.0021075932318602286,0.38479616515094406,0.0,0.25
hiba,6,0.05,M1,12,6,0.0,0.0,0.26464846939705117,0.0,0.0
hiba,6,0.05,M2,117,94,0.0,0.0,0.031037031693111575,0.0,0.0
hiba,6,0.05,M3,13,11,0.0,0.0,0.24705263800047095,0.0,0.0
hiba,6,0.05,B,131,73,0.0,0.0,0.027766605110036455,0.0,0.0
hiba,6,0.1,M1,12,6,0.0,0.0,0.26464846939705117,0.0,0.0
hiba,6,0.1,M2,117,94,0.0,0.0,0.031037031693111575,0.0,0.0
hiba,6,0.1,M3,13,11,0.0,0.0,0.24705263800047095,0.0,0.0
hiba,6,0.1,B,131,73,0.04580152671755725,0.016991344513786946,0.09702457691727535,0.015259077927376581,0.0778108950843727
hiba,6,0.15,M1,12,6,0.0,0.0,0.26464846939705117,0.0,0.0
hiba,6,0.15,M2,117,94,0.02564102564102564,0.005319334897903747,0.07310679037060747,0.0,0.05669256490952005
hiba,6,0.15,M3,13,11,0.0,0.0,0.24705263800047095,0.0,0.0
hiba,6,0.15,B,131,73,0.061068702290076333,0.026731160454289395,0.116784225548765,0.023809523809523808,0.10506154499151102
pad,6,0.05,M1,33,18,0.0,0.0,0.10576281007457927,0.0,0.0
pad,6,0.05,M2,146,106,0.0,0.0,0.024949776111947798,0.0,0.0
pad,6,0.05,M3,69,47,0.0,0.0,0.05205805786307967,0.0,0.0
pad,6,0.05,B,18,17,0.0,0.0,0.1853019681378522,0.0,0.0
pad,6,0.1,M1,33,18,0.0,0.0,0.10576281007457927,0.0,0.0
pad,6,0.1,M2,146,106,0.0,0.0,0.024949776111947798,0.0,0.0
pad,6,0.1,M3,69,47,0.0,0.0,0.05205805786307967,0.0,0.0
pad,6,0.1,B,18,17,0.05555555555555555,0.0014055561673694233,0.27294359967336845,0.0,0.17647058823529413
