cohort,head,draw,alpha,stratum,degenerate,coverage,miss_rate,referral,set_size,n_test
hiba,primary,1,0.15,M3,False,0.8181818181818182,0.0,1.0,3.6363636363636362,11
hiba,primary,1,0.15,B,False,0.9436619718309859,,0.9061032863849765,3.323943661971831,213
pad,pad_only,2,0.05,M1,False,0.9393939393939394,0.0,1.0,2.878787878787879,33
pad,pad_only,2,0.05,M2,False,0.9605263157894737,0.0,1.0,3.2302631578947367,152
pad,pad_only,2,0.05,M3,False,0.9393939393939394,0.015151515151515152,0.9848484848484849,3.212121212121212,66
pad,pad_only,2,0.05,B,False,0.8,,0.8,3.2,20
pad,primary,2,0.05,M1,False,0.9696969696969697,0.0,1.0,3.606060606060606,33
pad,primary,2,0.05,M2,False,0.8947368421052632,0.0,1.0,3.2697368421052633,152
pad,primary,2,0.05,M3,False,0.9242424242424242,0.0,1.0,3.196969696969697,66
pad,primary,2,0.05,B,False,0.9,,0.95,3.5,20
pad,pad_only,2,0.1,M1,False,0.9393939393939394,0.0,1.0,2.727272727272727,33
pad,pad_only,2,0.1,M2,False,0.9078947368421053,0.0,1.0,2.835526315789474,152
pad,pad_only,2,0.1,M3,False,0.9090909090909091,0.015151515151515152,0.9848484848484849,2.878787878787879,66
pad,pad_only,2,0.1,B,False,0.8,,0.75,2.6,20
pad,primary,2,0.1,M1,False,0.9696969696969697,0.0,1.0,3.5454545454545454,33
pad,primary,2,0.1,M2,False,0.8552631578947368,0.0,1.0,2.960526315789474,152
pad,primary,2,0.1,M3,False,0.8181818181818182,0.0,1.0,2.742424242424242,66
pad,primary,2,0.1,B,False,0.9,,0.95,3.1,20
pad,pad_only,2,0.15,M1,False,0.9393939393939394,0.0,1.0,2.5757575757575757,33
pad,pad_only,2,0.15,M2,False,0.8947368421052632,0.0,1.0,2.6052631578947367,152
pad,pad_only,2,0.15,M3,False,0.8636363636363636,0.015151515151515152,0.9848484848484849,2.5606060606060606,66
pad,pad_only,2,0.15,B,False,0.8,,0.65,2.4,20
pad,primary,2,0.15,M1,False,0.9696969696969697,0.0,1.0,3.3636363636363638,33
pad,primary,2,0.15,M2,False,0.8421052631578947,0.0,1.0,2.7039473684210527,152
pad,primary,2,0.15,M3,False,0.7575757575757576,0.0,1.0,2.5,66
pad,primary,2,0.15,B,False,0.9,,0.95,3.1,20
hiba,pad_only,2,0.05,M1,False,1.0,0.0,1.0,7.363636363636363,11
hiba,pad_only,2,0.05,M2,False,0.9435483870967742,0.0,1.0,6.774193548387097,124
hiba,pad_only,2,0.05,M3,False,0.875,0.0,1.0,7.0625,16
hiba,pad_only,2,0.05,B,False,0.9817073170731707,,1.0,6.396341463414634,164
hiba,primary,2,0.05,M1,False,1.0,0.0,1.0,7.0,11
hiba,primary,2,0.05,M2,False,0.9516129032258065,0.0,1.0,6.653225806451613,124
hiba,primary,2,0.05,M3,False,0.75,0.0,1.0,5.0625,16
hiba,primary,2,0.05,B,False,0.9878048780487805,,1.0,5.25,164
hiba,pad_only,2,0.1,M1,False,1.0,0.0,1.0,6.363636363636363,11
hiba,pad_only,2,0.1,M2,False,0.9112903225806451,0.0,1.0,6.475806451612903,124
hiba,pad_only,2,0.1,M3,False,0.75,0.0,1.0,6.3125,16
hiba,pad_only,2,0.1,B,False,0.9817073170731707,,0.9939024390243902,5.4939024390243905,164
hiba,primary,2,0.1,M1,False,0.8181818181818182,0.0,1.0,4.7272727272727275,11
hiba,primary,2,0.1,M2,False,0.9354838709677419,0.008064516129032258,0.9919354838709677,4.870967741935484,124
hiba,primary,2,0.1,M3,False,0.75,0.0,1.0,4.1875,16
hiba,primary,2,0.1,B,False,0.9634146341463414,,0.9634146341463414,3.6036585365853657,164
hiba,pad_only,2,0.15,M1,False,1.0,0.0,1.0,5.818181818181818,11
hiba,pad_only,2,0.15,M2,False,0.8709677419354839,0.0,1.0,4.846774193548387,124
hiba,pad_only,2,0.15,M3,False,0.75,0.0,1.0,4.4375,16
hiba,pad_only,2,0.15,B,False,0.9207317073170732,,0.9878048780487805,4.176829268292683,164
hiba,primary,2,0.15,M1,False,0.8181818181818182,0.0,1.0,4.545454545454546,11
hiba,primary,2,0.15,M2,False,0.9112903225806451,0.016129032258064516,0.9838709677419355,4.185483870967742,124
hiba,primary,2,0.15,M3,False,0.6875,0.0,1.0,3.75,16
hiba,primary,2,0.15,B,False,0.9573170731707317,,0.9085365853658537,3.048780487804878,164
pad,pad_only,3,0.05,M1,False,0.9615384615384616,0.0,1.0,6.115384615384615,26
pad,pad_only,3,0.05,M2,False,0.9358974358974359,0.0,1.0,6.198717948717949,156
pad,pad_only,3,0.05,M3,False,0.9438202247191011,0.0,1.0,6.370786516853933,89
pad,pad_only,3,0.05,B,False,1.0,,1.0,5.136363636363637,22
pad,primary,3,0.05,M1,False,1.0,0.0,1.0,4.576923076923077,26
pad,primary,3,0.05,M2,False,0.967948717948718,0.0,1.0,4.089743589743589,156
pad,primary,3,0.05,M3,False,0.9325842696629213,0.0,1.0,3.707865168539326,89
pad,primary,3,0.05,B,False,0.9545454545454546,,1.0,3.909090909090909,22
pad,pad_only,3,0.1,M1,False,0.9615384615384616,0.0,1.0,4.961538461538462,26
pad,pad_only,3,0.1,M2,False,0.8782051282051282,0.019230769230769232,0.9807692307692307,4.506410256410256,156
pad,pad_only,3,0.1,M3,False,0.8876404494382022,0.02247191011235955,0.9775280898876404,4.685393258426966,89
pad,pad_only,3,0.1,B,False,1.0,,1.0,3.4545454545454546,22
pad,primary,3,0.1,M1,False,1.0,0.0,1.0,4.038461538461538,26
pad,primary,3,0.1,M2,False,0.9230769230769231,0.0,1.0,3.25,156
pad,primary,3,0.1,M3,False,0.898876404494382,0.0,1.0,2.9101123595505616,89
pad,primary,3,0.1,B,False,0.9545454545454546,,0.9545454545454546,3.0454545454545454,22
pad,pad_only,3,0.15,M1,False,0.9615384615384616,0.0,1.0,2.9615384615384617,26
pad,pad_only,3,0.15,M2,False,0.8653846153846154,0.0,1.0,2.6025641025641026,156
pad,pad_only,3,0.15,M3,False,0.8651685393258427,0.011235955056179775,0.9887640449438202,2.741573033707865,89
pad,pad_only,3,0.15,B,False,0.9090909090909091,,0.6363636363636364,2.1818181818181817,22
pad,primary,3,0.15,M1,False,1.0,0.0,1.0,4.038461538461538,26
pad,primary,3,0.15,M2,False,0.8397435897435898,0.0,1.0,2.8974358974358974,156
pad,primary,3,0.15,M3,False,0.8651685393258427,0.0,1.0,2.7752808988764044,89
pad,primary,3,0.15,B,False,0.9545454545454546,,0.9545454545454546,3.0,22
hiba,pad_only,3,0.05,M1,False,1.0,0.0,1.0,7.5,12
hiba,pad_only,3,0.05,M2,False,0.968503937007874,0.0,1.0,6.771653543307087,127
hiba,pad_only,3,0.05,M3,False,1.0,0.0,1.0,7.7272727272727275,11
hiba,pad_only,3,0.05,B,False,0.95,,1.0,6.4944444444444445,180
hiba,primary,3,0.05,M1,False,0.9166666666666666,0.0,1.0,5.083333333333333,12
hiba,primary,3,0.05,M2,False,0.937007874015748,0.0,1.0,5.771653543307087,127
hiba,primary,3,0.05,M3,False,1.0,0.0,1.0,6.090909090909091,11
hiba,primary,3,0.05,B,False,0.9333333333333333,,1.0,5.333333333333333,180
hiba,pad_only,3,0.1,M1,False,0.9166666666666666,0.0,1.0,7.0,12
hiba,pad_only,3,0.1,M2,False,0.9212598425196851,0.0,1.0,6.440944881889764,127
hiba,pad_only,3,0.1,M3,False,1.0,0.0,1.0,7.454545454545454,11
hiba,pad_only,3,0.1,B,False,0.95,,1.0,6.111111111111111,180
hiba,primary,3,0.1,M1,False,0.5833333333333334,0.0,1.0,3.25,12
hiba,primary,3,0.1,M2,False,0.9212598425196851,0.0,1.0,4.543307086614173,127
hiba,primary,3,0.1,M3,False,1.0,0.0,1.0,4.363636363636363,11
hiba,primary,3,0.1,B,False,0.8833333333333333,,0.9166666666666666,3.577777777777778,180
hiba,pad_only,3,0.15,M1,False,0.9166666666666666,0.0,1.0,5.0,12
hiba,pad_only,3,0.15,M2,False,0.8818897637795275,0.007874015748031496,0.9921259842519685,5.0078740157480315,127
hiba,pad_only,3,0.15,M3,False,1.0,0.0,1.0,5.2727272727272725,11
hiba,pad_only,3,0.15,B,False,0.8888888888888888,,0.9944444444444445,4.683333333333334,180
hiba,primary,3,0.15,M1,False,0.5,0.08333333333333333,0.9166666666666666,2.4166666666666665,12
hiba,primary,3,0.15,M2,False,0.8661417322834646,0.007874015748031496,0.9921259842519685,3.3858267716535435,127
hiba,primary,3,0.15,M3,False,1.0,0.0,1.0,3.727272727272727,11
hiba,primary,3,0.15,B,False,0.8333333333333334,,0.8555555555555555,2.6944444444444446,180
pad,pad_only,4,0.05,M1,False,0.9310344827586207,0.0,1.0,4.517241379310345,29
pad,pad_only,4,0.05,M2,False,0.9433962264150944,0.006289308176100629,0.9937106918238994,4.729559748427673,159
pad,pad_only,4,0.05,M3,False,0.9565217391304348,0.0,1.0,5.101449275362318,69
pad,pad_only,4,0.05,B,False,0.9375,,1.0,4.4375,16
pad,primary,4,0.05,M1,False,0.9655172413793104,0.0,1.0,4.0344827586206895,29
pad,primary,4,0.05,M2,False,0.949685534591195,0.0,1.0,3.9874213836477987,159
pad,primary,4,0.05,M3,False,0.9565217391304348,0.0,1.0,4.202898550724638,69
pad,primary,4,0.05,B,False,1.0,,1.0,4.125,16
pad,pad_only,4,0.1,M1,False,0.8620689655172413,0.0,1.0,2.5517241379310347,29
pad,pad_only,4,0.1,M2,False,0.8490566037735849,0.0,1.0,2.7358490566037736,159
pad,pad_only,4,0.1,M3,False,0.8985507246376812,0.0,1.0,3.0434782608695654,69
pad,pad_only,4,0.1,B,False,0.9375,,0.9375,3.6875,16
pad,primary,4,0.1,M1,False,0.896551724137931,0.0,1.0,3.6206896551724137,29
pad,primary,4,0.1,M2,False,0.9182389937106918,0.0,1.0,3.7044025157232703,159
pad,primary,4,0.1,M3,False,0.927536231884058,0.0,1.0,3.710144927536232,69
pad,primary,4,0.1,B,False,1.0,,0.9375,3.875,16
pad,pad_only,4,0.15,M1,False,0.7931034482758621,0.0,1.0,2.2758620689655173,29
pad,pad_only,4,0.15,M2,False,0.7861635220125787,0.0,1.0,2.3459119496855347,159
pad,pad_only,4,0.15,M3,False,0.8115942028985508,0.014492753623188406,0.9855072463768116,2.5072463768115942,69
pad,pad_only,4,0.15,B,False,0.9375,,0.875,3.0625,16
pad,primary,4,0.15,M1,False,0.896551724137931,0.0,1.0,2.9655172413793105,29
pad,primary,4,0.15,M2,False,0.7672955974842768,0.0,1.0,2.5283018867924527,159
