cohort,head,draw,top1,bal_acc,macro_f1,auc_ovr
hiba,primary,16,0.5466666666666666,0.4157138480526772,0.4067533276462262,0.7933658549096845
pad,pad_only,17,0.6357142857142857,0.5552013234729475,0.4121614577992877,0.8858174392657032
pad,primary,17,0.5785714285714286,0.5443680785968318,0.39287464985994397,0.8584278756860714
hiba,pad_only,17,0.5507900677200903,0.34260107725585476,0.2963780541737312,0.7269996197422846
hiba,primary,17,0.6094808126410836,0.4489085056593648,0.43958521374337567,0.8471489298839656
pad,pad_only,18,0.6181818181818182,0.5376416941045424,0.3849841283645693,0.8766327237476012
pad,primary,18,0.5927272727272728,0.5009222402411257,0.3547870658753012,0.8491859810886693
hiba,pad_only,18,0.5100864553314121,0.3182251008326828,0.2991504216175046,0.7253240798946179
hiba,primary,18,0.5763688760806917,0.46424383619568044,0.45637155208484204,0.8580519102775632
pad,pad_only,19,0.6058394160583942,0.5730405603101456,0.39674319761436505,0.8738282768819389
pad,primary,19,0.5985401459854015,0.542906517445688,0.38240489241102305,0.8506078962070832
hiba,pad_only,19,0.4854014598540146,0.3205874741200828,0.3034794144294255,0.7083293199960017
hiba,primary,19,0.5547445255474452,0.429557610264132,0.43303911147143226,0.8077373950309336
pad,pad_only,20,0.6327272727272727,0.6008789460804307,0.4155527816785423,0.8734814562161604
pad,primary,20,0.5781818181818181,0.5486537101993094,0.36402730536659106,0.8500924451278683
hiba,pad_only,20,0.49101796407185627,0.2992498348664803,0.263390514049626,0.7310150590501554
hiba,primary,20,0.49700598802395207,0.3600247164083024,0.3556149441763999,0.7967745813968996
pad,pad_only,21,0.6240601503759399,0.6087694701514202,0.42093114633308987,0.8771771554165202
pad,primary,21,0.5263157894736842,0.5148043353220629,0.35841775911691054,0.846449989561913
hiba,pad_only,21,0.43956043956043955,0.3226561428767311,0.28736613315466436,0.7198633477483016
hiba,primary,21,0.5384615384615384,0.4108967013378778,0.4024908948135418,0.7947369597709211
pad,pad_only,22,0.6210526315789474,0.5874084846053554,0.3877768887266587,0.8580239649653666
pad,primary,22,0.5473684210526316,0.4638458673008869,0.32548544321879097,0.8158647448111346
hiba,pad_only,22,0.4746268656716418,0.3213840872317306,0.284545549088987,0.7049905952676102
hiba,primary,22,0.46567164179104475,0.38738967260158347,0.3474349082073601,0.7909078113792358
pad,pad_only,23,0.6394052044609665,0.6016668907221903,0.40833830444718366,0.8886906956580538
pad,primary,23,0.5985130111524164,0.5658658823405367,0.3918261861379839,0.8527948889278102
hiba,pad_only,23,0.4420289855072464,0.3036458506327432,0.2897666197332365,0.7246084196749198
hiba,primary,23,0.5,0.37575465792377555,0.3500092361271996,0.8144695198391387
pad,pad_only,24,0.6643109540636042,0.5785272188362235,0.4180628569384623,0.8865230824490019
pad,primary,24,0.6148409893992933,0.5372768355058491,0.3726893961819365,0.868549631685681
hiba,pad_only,24,0.46864686468646866,0.3128388047971167,0.28676035472070804,0.7189815082503828
hiba,primary,24,0.4884488448844885,0.36560891204161916,0.3657618559718969,0.7632941017836768
pad,pad_only,25,0.6446886446886447,0.5862561719942407,0.38386249500372227,0.8695494204114512
pad,primary,25,0.5347985347985348,0.5136778839609027,0.3266952614379085,0.8180492070169753
hiba,pad_only,25,0.4720496894409938,0.29150432562398454,0.2720966701924756,0.7088558993693375
hiba,primary,25,0.5062111801242236,0.40171699188284643,0.4112882715356597,0.789795612278847
pad,pad_only,26,0.6472602739726028,0.5656631431463186,0.3895642692468066,0.8771484803617021
pad,primary,26,0.5547945205479452,0.46771236165241653,0.31083149941845595,0.8483321657873825
