variant,draw,alpha,modality,n,n_mal,coverage,set_size,miss,release,referral
derm_only_for_mixed,7,0.05,both,76,47,0.9868421052631579,6.144736842105263,0.0,0.0,1.0
derm_only_for_mixed,7,0.05,all,384,136,0.9765625,5.182291666666667,0.0,0.0,1.0
averaged,7,0.1,derm,293,77,0.9556313993174061,3.7747440273037545,0.012987012987012988,0.06018518518518518,0.9522184300341296
averaged,7,0.1,clin,15,12,0.9333333333333333,3.933333333333333,0.0,0.0,1.0
averaged,7,0.1,both,76,47,0.8421052631578947,4.302631578947368,0.0,0.0,1.0
averaged,7,0.1,all,384,136,0.9322916666666666,3.8854166666666665,0.007352941176470588,0.05241935483870968,0.9635416666666666
derm_only_for_mixed,7,0.1,derm,293,77,0.9556313993174061,3.627986348122867,0.012987012987012988,0.08333333333333333,0.9351535836177475
derm_only_for_mixed,7,0.1,clin,15,12,0.9333333333333333,3.933333333333333,0.0,0.0,1.0
derm_only_for_mixed,7,0.1,both,76,47,0.9342105263157895,4.815789473684211,0.02127659574468085,0.0,0.9868421052631579
derm_only_for_mixed,7,0.1,all,384,136,0.9505208333333334,3.875,0.014705882352941176,0.07258064516129033,0.9479166666666666
averaged,7,0.15,derm,293,77,0.931740614334471,3.0409556313993176,0.025974025974025976,0.1574074074074074,0.8771331058020477
averaged,7,0.15,clin,15,12,0.6666666666666666,3.0,0.08333333333333333,0.0,0.9333333333333333
averaged,7,0.15,both,76,47,0.7894736842105263,3.6184210526315788,0.02127659574468085,0.0,0.9868421052631579
averaged,7,0.15,all,384,136,0.8932291666666666,3.1536458333333335,0.029411764705882353,0.13709677419354838,0.9010416666666666
derm_only_for_mixed,7,0.15,derm,293,77,0.9215017064846417,2.89419795221843,0.03896103896103896,0.2037037037037037,0.8395904436860068
derm_only_for_mixed,7,0.15,clin,15,12,0.7333333333333333,2.7333333333333334,0.0,0.0,1.0
derm_only_for_mixed,7,0.15,both,76,47,0.881578947368421,3.973684210526316,0.0,0.0,1.0
derm_only_for_mixed,7,0.15,all,384,136,0.90625,3.1015625,0.022058823529411766,0.1774193548387097,0.8776041666666666
averaged,8,0.05,derm,258,73,0.9922480620155039,6.054263565891473,0.0,0.0,1.0
averaged,8,0.05,clin,26,19,0.8846153846153846,5.538461538461538,0.0,0.0,1.0
averaged,8,0.05,both,80,61,0.9625,5.9875,0.0,0.0,1.0
averaged,8,0.05,all,364,153,0.978021978021978,6.002747252747253,0.0,0.0,1.0
derm_only_for_mixed,8,0.05,derm,258,73,0.9767441860465116,4.930232558139535,0.0,0.010810810810810811,0.9922480620155039
derm_only_for_mixed,8,0.05,clin,26,19,0.8846153846153846,4.423076923076923,0.0,0.0,1.0
derm_only_for_mixed,8,0.05,both,80,61,0.9875,5.55,0.0,0.0,1.0
derm_only_for_mixed,8,0.05,all,364,153,0.9725274725274725,5.03021978021978,0.0,0.009478672985781991,0.9945054945054945
averaged,8,0.1,derm,258,73,0.9689922480620154,4.317829457364341,0.0273972602739726,0.043243243243243246,0.9612403100775194
averaged,8,0.1,clin,26,19,0.8846153846153846,3.8846153846153846,0.0,0.0,1.0
