cohort,draw,alpha,group,n_benign,benign_coverage,benign_referral,benign_set_size
hiba,7,0.15,1,7,1.0,1.0,3.7142857142857144
hiba,7,0.15,2,169,0.9112426035502958,0.9289940828402367,3.0236686390532546
hiba,7,0.15,3,71,0.9859154929577465,0.6901408450704225,2.352112676056338
hiba,7,0.15,4,1,1.0,1.0,6.0
pad,7,0.05,1,4,0.75,1.0,3.75
pad,7,0.05,2,4,0.75,1.0,2.75
pad,7,0.05,3,6,1.0,1.0,2.8333333333333335
pad,7,0.05,4,3,1.0,1.0,5.666666666666667
pad,7,0.1,1,4,0.5,1.0,3.5
pad,7,0.1,2,4,0.75,1.0,2.75
pad,7,0.1,3,6,1.0,1.0,2.6666666666666665
pad,7,0.1,4,3,1.0,1.0,4.666666666666667
pad,7,0.15,1,4,0.5,1.0,3.0
pad,7,0.15,2,4,0.25,1.0,2.0
pad,7,0.15,3,6,1.0,0.6666666666666666,2.3333333333333335
pad,7,0.15,4,3,1.0,1.0,3.3333333333333335
hiba,8,0.05,1,7,1.0,1.0,5.428571428571429
hiba,8,0.05,2,136,0.9779411764705882,1.0,5.647058823529412
hiba,8,0.05,3,46,1.0,1.0,5.521739130434782
hiba,8,0.05,4,22,1.0,1.0,7.409090909090909
hiba,8,0.1,1,7,1.0,1.0,4.714285714285714
hiba,8,0.1,2,136,0.9485294117647058,0.9779411764705882,3.7573529411764706
hiba,8,0.1,3,46,1.0,0.8913043478260869,3.3260869565217392
hiba,8,0.1,4,22,1.0,1.0,6.409090909090909
hiba,8,0.15,1,7,1.0,1.0,4.0
hiba,8,0.15,2,136,0.9264705882352942,0.9191176470588235,2.9926470588235294
hiba,8,0.15,3,46,0.9782608695652174,0.7608695652173914,2.5434782608695654
hiba,8,0.15,4,22,1.0,1.0,6.136363636363637
pad,8,0.05,1,1,1.0,1.0,5.0
pad,8,0.05,2,8,1.0,1.0,3.875
pad,8,0.05,3,7,1.0,1.0,3.4285714285714284
pad,8,0.05,4,3,1.0,1.0,6.0
pad,8,0.1,1,1,1.0,1.0,5.0
pad,8,0.1,2,8,1.0,1.0,3.375
pad,8,0.1,3,7,1.0,1.0,3.2857142857142856
pad,8,0.1,4,3,1.0,1.0,4.333333333333333
pad,8,0.15,1,1,1.0,1.0,3.0
pad,8,0.15,2,8,1.0,1.0,3.125
pad,8,0.15,3,7,1.0,0.8571428571428571,2.4285714285714284
pad,8,0.15,4,3,1.0,1.0,3.3333333333333335
hiba,9,0.05,1,8,1.0,1.0,5.125
hiba,9,0.05,2,102,0.9705882352941176,1.0,5.568627450980392
hiba,9,0.05,3,70,1.0,1.0,5.5285714285714285
hiba,9,0.05,4,23,1.0,1.0,7.608695652173913
hiba,9,0.1,1,8,1.0,1.0,4.125
hiba,9,0.1,2,102,0.8627450980392157,0.9509803921568627,3.5294117647058822
hiba,9,0.1,3,70,0.9857142857142858,0.9571428571428572,3.3
hiba,9,0.1,4,23,1.0,1.0,6.304347826086956
hiba,9,0.15,1,8,1.0,1.0,3.625
hiba,9,0.15,2,102,0.8137254901960784,0.8921568627450981,2.9019607843137254
hiba,9,0.15,3,70,0.9857142857142858,0.8142857142857143,2.742857142857143
