cohort,draw,alpha,stratum,coverage,n_test,referral
hiba,2,0.15,cov-BKL,1.0,17,
hiba,2,0.15,cov-DF,0.5,10,
hiba,2,0.15,cov-VASC,0.7777777777777778,9,
hiba,2,0.15,cov-SCC,0.7,30,
hiba,2,0.15,sens-SCC,,30,0.9666666666666667
pad,2,0.05,cov-MEL,0.9,10,
pad,2,0.05,sens-MEL,,10,1.0
pad,2,0.05,cov-NV,0.8888888888888888,9,
pad,2,0.05,cov-BCC,0.988950276243094,181,
pad,2,0.05,sens-BCC,,181,1.0
pad,2,0.05,cov-AK,0.9166666666666666,60,
pad,2,0.05,sens-AK,,60,1.0
pad,2,0.05,cov-BKL,1.0,7,
pad,2,0.05,cov-SCC,0.8648648648648649,37,
pad,2,0.05,sens-SCC,,37,1.0
pad,2,0.1,cov-MEL,0.7,10,
pad,2,0.1,sens-MEL,,10,1.0
pad,2,0.1,cov-NV,0.8888888888888888,9,
pad,2,0.1,cov-BCC,0.9447513812154696,181,
pad,2,0.1,sens-BCC,,181,1.0
pad,2,0.1,cov-AK,0.8833333333333333,60,
pad,2,0.1,sens-AK,,60,1.0
pad,2,0.1,cov-BKL,1.0,7,
pad,2,0.1,cov-SCC,0.8108108108108109,37,
pad,2,0.1,sens-SCC,,37,1.0
pad,2,0.15,cov-MEL,0.7,10,
pad,2,0.15,sens-MEL,,10,1.0
pad,2,0.15,cov-NV,0.8888888888888888,9,
pad,2,0.15,cov-BCC,0.9116022099447514,181,
pad,2,0.15,sens-BCC,,181,1.0
pad,2,0.15,cov-AK,0.8833333333333333,60,
pad,2,0.15,sens-AK,,60,1.0
pad,2,0.15,cov-BKL,1.0,7,
pad,2,0.15,cov-SCC,0.7297297297297297,37,
pad,2,0.15,sens-SCC,,37,1.0
hiba,3,0.05,cov-MEL,1.0,49,
hiba,3,0.05,sens-MEL,,49,1.0
hiba,3,0.05,cov-NV,0.9848484848484849,132,
hiba,3,0.05,cov-BCC,0.9841269841269841,63,
hiba,3,0.05,sens-BCC,,63,1.0
hiba,3,0.05,cov-AK,0.7142857142857143,14,
hiba,3,0.05,sens-AK,,14,1.0
hiba,3,0.05,cov-BKL,0.9333333333333333,15,
hiba,3,0.05,cov-DF,0.4375,16,
hiba,3,0.05,cov-VASC,0.7058823529411765,17,
hiba,3,0.05,cov-SCC,0.8333333333333334,24,
hiba,3,0.05,sens-SCC,,24,1.0
hiba,3,0.1,cov-MEL,1.0,49,
hiba,3,0.1,sens-MEL,,49,1.0
hiba,3,0.1,cov-NV,0.9621212121212122,132,
hiba,3,0.1,cov-BCC,0.9682539682539683,63,
hiba,3,0.1,sens-BCC,,63,1.0
hiba,3,0.1,cov-AK,0.6428571428571429,14,
hiba,3,0.1,sens-AK,,14,1.0
hiba,3,0.1,cov-BKL,0.9333333333333333,15,
hiba,3,0.1,cov-DF,0.25,16,
hiba,3,0.1,cov-VASC,0.6470588235294118,17,
hiba,3,0.1,cov-SCC,0.8333333333333334,24,
hiba,3,0.1,sens-SCC,,24,1.0
hiba,3,0.15,cov-MEL,0.9795918367346939,49,
hiba,3,0.15,sens-MEL,,49,0.9795918367346939
hiba,3,0.15,cov-NV,0.9318181818181818,132,
hiba,3,0.15,cov-BCC,0.873015873015873,63,
hiba,3,0.15,sens-BCC,,63,0.9841269841269841
hiba,3,0.15,cov-AK,0.6428571428571429,14,
hiba,3,0.15,sens-AK,,14,1.0
hiba,3,0.15,cov-BKL,0.8,15,
hiba,3,0.15,cov-DF,0.25,16,
hiba,3,0.15,cov-VASC,0.6470588235294118,17,
hiba,3,0.15,cov-SCC,0.6666666666666666,24,
hiba,3,0.15,sens-SCC,,24,1.0
pad,3,0.05,cov-MEL,1.0,10,
pad,3,0.05,sens-MEL,,10,1.0
pad,3,0.05,cov-NV,1.0,14,
pad,3,0.05,cov-BCC,0.9615384615384616,156,
pad,3,0.05,sens-BCC,,156,1.0
pad,3,0.05,cov-AK,0.9574468085106383,47,
pad,3,0.05,sens-AK,,47,1.0
pad,3,0.05,cov-BKL,1.0,10,
pad,3,0.05,cov-SCC,0.8333333333333334,36,
pad,3,0.05,sens-SCC,,36,1.0
pad,3,0.1,cov-MEL,1.0,10,
pad,3,0.1,sens-MEL,,10,1.0
pad,3,0.1,cov-NV,1.0,14,
pad,3,0.1,cov-BCC,0.9358974358974359,156,
pad,3,0.1,sens-BCC,,156,1.0
pad,3,0.1,cov-AK,0.9574468085106383,47,
pad,3,0.1,sens-AK,,47,1.0
pad,3,0.1,cov-BKL,0.9,10,
pad,3,0.1,cov-SCC,0.7777777777777778,36,
pad,3,0.1,sens-SCC,,36,1.0
pad,3,0.15,cov-MEL,0.9,10,
pad,3,0.15,sens-MEL,,10,1.0
pad,3,0.15,cov-NV,1.0,14,
pad,3,0.15,cov-BCC,0.8910256410256411,156,
pad,3,0.15,sens-BCC,,156,1.0
pad,3,0.15,cov-AK,0.9361702127659575,47,
pad,3,0.15,sens-AK,,47,1.0
pad,3,0.15,cov-BKL,0.9,10,
pad,3,0.15,cov-SCC,0.7222222222222222,36,
pad,3,0.15,sens-SCC,,36,1.0
hiba,4,0.05,cov-MEL,1.0,38,
hiba,4,0.05,sens-MEL,,38,1.0
hiba,4,0.05,cov-NV,1.0,165,
hiba,4,0.05,cov-BCC,0.9864864864864865,74,
hiba,4,0.05,sens-BCC,,74,1.0
hiba,4,0.05,cov-AK,0.8,15,
hiba,4,0.05,sens-AK,,15,1.0
hiba,4,0.05,cov-BKL,1.0,16,
hiba,4,0.05,cov-DF,0.8181818181818182,11,
hiba,4,0.05,cov-VASC,0.8125,16,
hiba,4,0.05,cov-SCC,0.9310344827586207,29,
hiba,4,0.05,sens-SCC,,29,1.0
hiba,4,0.1,cov-MEL,1.0,38,
hiba,4,0.1,sens-MEL,,38,1.0
hiba,4,0.1,cov-NV,0.9878787878787879,165,
hiba,4,0.1,cov-BCC,0.9594594594594594,74,
hiba,4,0.1,sens-BCC,,74,1.0
hiba,4,0.1,cov-AK,0.8,15,
hiba,4,0.1,sens-AK,,15,1.0
hiba,4,0.1,cov-BKL,1.0,16,
hiba,4,0.1,cov-DF,0.6363636363636364,11,
hiba,4,0.1,cov-VASC,0.6875,16,
hiba,4,0.1,cov-SCC,0.8275862068965517,29,
hiba,4,0.1,sens-SCC,,29,1.0
hiba,4,0.15,cov-MEL,0.9736842105263158,38,
hiba,4,0.15,sens-MEL,,38,1.0
hiba,4,0.15,cov-NV,0.9878787878787879,165,
hiba,4,0.15,cov-BCC,0.8918918918918919,74,
