cohort,draw,alpha,stratum,n_cal,degenerate,coverage,coverage_pw,miss_rate,referral,referral_pw,set_size,n_test,n_test_pat
hiba,3,0.15,marginal-M1,396,False,0.9166666666666666,,0.0,1.0,,3.1666666666666665,12,
hiba,3,0.15,marginal-M2,396,False,0.8976377952755905,,0.007874015748031496,0.9921259842519685,,3.5354330708661417,127,
hiba,3,0.15,marginal-M3,396,False,1.0,,0.0,1.0,,3.4545454545454546,11,
pad,3,0.05,B,21,False,0.9545454545454546,0.9444444444444444,,1.0,1.0,3.909090909090909,22,18.0
pad,3,0.05,M1,25,False,1.0,1.0,0.0,1.0,1.0,4.576923076923077,26,15.0
pad,3,0.05,M2,163,False,0.967948717948718,0.9748427672955976,0.0,1.0,1.0,4.089743589743589,156,106.0
pad,3,0.05,M3,64,False,0.9325842696629213,0.931547619047619,0.0,1.0,1.0,3.707865168539326,89,56.0
pad,3,0.05,M4,10,True,1.0,1.0,0.0,1.0,1.0,5.222222222222222,9,7.0
pad,3,0.05,M5,4,True,1.0,1.0,0.0,1.0,1.0,4.5,2,1.0
pad,3,0.05,marginal-M1,281,False,0.9615384615384616,,0.0,1.0,,4.423076923076923,26,
pad,3,0.05,marginal-M2,281,False,0.967948717948718,,0.0,1.0,,4.153846153846154,156,
pad,3,0.05,marginal-M3,281,False,0.9550561797752809,,0.0,1.0,,4.089887640449438,89,
pad,3,0.05,marginal-M4,281,False,0.8888888888888888,,0.0,1.0,,4.444444444444445,9,
pad,3,0.05,marginal-M5,281,False,1.0,,0.0,1.0,,2.5,2,
pad,3,0.1,B,21,False,0.9545454545454546,0.9444444444444444,,0.9545454545454546,0.9444444444444444,3.0454545454545454,22,18.0
pad,3,0.1,M1,25,False,1.0,1.0,0.0,1.0,1.0,4.038461538461538,26,15.0
pad,3,0.1,M2,163,False,0.9230769230769231,0.9355345911949685,0.0,1.0,1.0,3.25,156,106.0
pad,3,0.1,M3,64,False,0.898876404494382,0.9047619047619049,0.0,1.0,1.0,2.9101123595505616,89,56.0
pad,3,0.1,M4,10,False,0.8888888888888888,0.8571428571428571,0.0,1.0,1.0,3.2222222222222223,9,7.0
pad,3,0.1,M5,4,True,1.0,1.0,0.0,1.0,1.0,4.0,2,1.0
pad,3,0.1,marginal-M1,281,False,0.9230769230769231,,0.0,1.0,,3.9615384615384617,26,
pad,3,0.1,marginal-M2,281,False,0.9166666666666666,,0.0,1.0,,3.5128205128205128,156,
pad,3,0.1,marginal-M3,281,False,0.9213483146067416,,0.0,1.0,,3.4719101123595504,89,
pad,3,0.1,marginal-M4,281,False,0.8888888888888888,,0.0,1.0,,3.7777777777777777,9,
pad,3,0.1,marginal-M5,281,False,1.0,,0.0,1.0,,2.0,2,
pad,3,0.15,B,21,False,0.9545454545454546,0.9444444444444444,,0.9545454545454546,0.9444444444444444,3.0,22,18.0
pad,3,0.15,M1,25,False,1.0,1.0,0.0,1.0,1.0,4.038461538461538,26,15.0
pad,3,0.15,M2,163,False,0.8397435897435898,0.8624213836477987,0.0,1.0,1.0,2.8974358974358974,156,106.0
pad,3,0.15,M3,64,False,0.8651685393258427,0.8802083333333334,0.0,1.0,1.0,2.7752808988764044,89,56.0
pad,3,0.15,M4,10,False,0.8888888888888888,0.8571428571428571,0.0,1.0,1.0,3.2222222222222223,9,7.0
pad,3,0.15,M5,4,True,1.0,1.0,0.0,1.0,1.0,4.0,2,1.0
pad,3,0.15,marginal-M1,281,False,0.9230769230769231,,0.0,1.0,,3.5384615384615383,26,
pad,3,0.15,marginal-M2,281,False,0.8397435897435898,,0.0,1.0,,2.980769230769231,156,
pad,3,0.15,marginal-M3,281,False,0.8876404494382022,,0.0,1.0,,2.9887640449438204,89,
pad,3,0.15,marginal-M4,281,False,0.8888888888888888,,0.0,1.0,,3.2222222222222223,9,
pad,3,0.15,marginal-M5,281,False,0.5,,0.0,1.0,,0.5,2,
hiba,4,0.05,B,163,False,0.9759615384615384,0.9433333333333334,,1.0,1.0,5.615384615384615,208,75.0
hiba,4,0.05,M1,23,False,1.0,1.0,0.0,1.0,1.0,6.2105263157894735,19,11.0
hiba,4,0.05,M2,230,False,0.959349593495935,0.9764705882352941,0.0,1.0,1.0,6.308943089430894,123,85.0
hiba,4,0.05,M3,22,False,0.9285714285714286,0.9166666666666666,0.0,1.0,1.0,5.928571428571429,14,12.0
hiba,4,0.05,marginal-M1,396,False,1.0,,0.0,1.0,,6.578947368421052,19,
hiba,4,0.05,marginal-M2,396,False,0.975609756097561,,0.0,1.0,,6.284552845528455,123,
hiba,4,0.05,marginal-M3,396,False,1.0,,0.0,1.0,,6.785714285714286,14,
hiba,4,0.1,B,163,False,0.9471153846153846,0.8966666666666666,,0.9326923076923077,0.936021164021164,3.764423076923077,208,75.0
hiba,4,0.1,M1,23,False,0.9473684210526315,0.9772727272727273,0.0,1.0,1.0,4.578947368421052,19,11.0
hiba,4,0.1,M2,230,False,0.9186991869918699,0.9294117647058824,0.0,1.0,1.0,4.853658536585366,123,85.0
hiba,4,0.1,M3,22,False,0.8571428571428571,0.8333333333333334,0.0,1.0,1.0,4.714285714285714,14,12.0
hiba,4,0.1,marginal-M1,396,False,0.9473684210526315,,0.0,1.0,,4.473684210526316,19,
hiba,4,0.1,marginal-M2,396,False,0.9349593495934959,,0.0,1.0,,4.796747967479675,123,
hiba,4,0.1,marginal-M3,396,False,0.9285714285714286,,0.0,1.0,,5.142857142857143,14,
hiba,4,0.15,B,163,False,0.9182692307692307,0.8626666666666665,,0.8605769230769231,0.9036719576719576,2.860576923076923,208,75.0
hiba,4,0.15,M1,23,False,0.8947368421052632,0.9545454545454546,0.0,1.0,1.0,3.6842105263157894,19,11.0
hiba,4,0.15,M2,230,False,0.8455284552845529,0.8858823529411765,0.016260162601626018,0.983739837398374,0.9931372549019607,3.894308943089431,123,85.0
hiba,4,0.15,M3,22,False,0.8571428571428571,0.8333333333333334,0.0,1.0,1.0,4.142857142857143,14,12.0
hiba,4,0.15,marginal-M1,396,False,0.8947368421052632,,0.0,1.0,,3.210526315789474,19,
hiba,4,0.15,marginal-M2,396,False,0.9024390243902439,,0.0,1.0,,3.7235772357723578,123,
hiba,4,0.15,marginal-M3,396,False,0.9285714285714286,,0.0,1.0,,4.142857142857143,14,
pad,4,0.05,B,23,False,1.0,1.0,,1.0,1.0,4.125,16,16.0
pad,4,0.05,M1,24,False,0.9655172413793104,0.9375,0.0,1.0,1.0,4.0344827586206895,29,16.0
pad,4,0.05,M2,157,False,0.949685534591195,0.9523809523809523,0.0,1.0,1.0,3.9874213836477987,159,112.0
pad,4,0.05,M3,75,False,0.9565217391304348,0.9444444444444444,0.0,1.0,1.0,4.202898550724638,69,45.0
pad,4,0.05,M4,8,True,1.0,1.0,0.0,1.0,1.0,5.666666666666667,9,9.0
pad,4,0.05,M5,2,True,1.0,1.0,0.0,1.0,1.0,5.333333333333333,3,3.0
pad,4,0.05,marginal-M1,280,False,0.9655172413793104,,0.0,1.0,,3.9655172413793105,29,
pad,4,0.05,marginal-M2,280,False,0.949685534591195,,0.0,1.0,,3.9748427672955975,159,
pad,4,0.05,marginal-M3,280,False,0.9565217391304348,,0.0,1.0,,4.246376811594203,69,
pad,4,0.05,marginal-M4,280,False,1.0,,0.0,1.0,,5.0,9,
pad,4,0.05,marginal-M5,280,False,1.0,,0.0,1.0,,4.333333333333333,3,
pad,4,0.1,B,23,False,1.0,1.0,,0.9375,0.9375,3.875,16,16.0
pad,4,0.1,M1,24,False,0.896551724137931,0.84375,0.0,1.0,1.0,3.6206896551724137,29,16.0
