cohort,draw,top1,bal_acc,macro_f1,auc_ovr,n
pad,43,0.5906040268456376,0.5089450310038546,0.3745163700432668,0.8406681214301539,298
hiba,44,0.656,0.4746072103737777,0.4588153536657207,0.8532921486753153,375
pad,44,0.597864768683274,0.5770761324373842,0.38434936344739545,0.8519450236983227,281
hiba,45,0.5461254612546126,0.4916562033801152,0.4963742885381851,0.8469522247941232,271
pad,45,0.5633802816901409,0.5276221816127268,0.35585111223722843,0.8380485881409685,284
hiba,46,0.5606936416184971,0.4096039735475877,0.4007486182520672,0.7835022450472646,346
pad,46,0.5578947368421052,0.5640240262881772,0.3677489202301562,0.852376664271242,285
hiba,47,0.5382059800664452,0.38887649696717375,0.37736820322903536,0.8340194407978976,301
pad,47,0.5390070921985816,0.5138723065552334,0.39418082876819444,0.831487050212079,282
hiba,48,0.5494505494505495,0.42161953034046057,0.418268891136512,0.863679774167823,273
pad,48,0.5894736842105263,0.5379050925925926,0.38578827823452433,0.8357937857790253,285
hiba,49,0.47928994082840237,0.415956215902762,0.3860566741116126,0.8117530672693615,338
pad,49,0.5655430711610487,0.46515027431554284,0.34221187551602766,0.8247204661816253,267
hiba,50,0.6363636363636364,0.5358088493648026,0.4755391147127198,0.8812623583861525,407
pad,50,0.5892857142857143,0.5174242824906564,0.37153199238891094,0.8264642945641166,280
hiba,51,0.5878594249201278,0.45649543350843014,0.43702205190897575,0.8434051300324179,313
pad,51,0.5563380281690141,0.5715062899108588,0.39568987347260887,0.823311914315806,284
hiba,52,0.4874551971326165,0.38025559386434005,0.4090428992884617,0.820141347870465,279
pad,52,0.5759717314487632,0.5436927311927312,0.36659142490141605,0.8435013668787414,283
hiba,53,0.49221183800623053,0.3987033966990864,0.39846289273632246,0.8357733705530961,321
pad,53,0.5774647887323944,0.5716891719794477,0.3685233977051152,0.8533431364450546,284
hiba,54,0.648910411622276,0.4798215736887026,0.473449311660915,0.8521124724356574,413
pad,54,0.55,0.48693158955528953,0.3542278009620077,0.8097239995601965,280
hiba,55,0.6068601583113457,0.4165123901764682,0.4261340223449347,0.8011164275698521,379
pad,55,0.5670103092783505,0.5403126622432121,0.38466939647636067,0.8376723259140145,291
hiba,56,0.5642633228840125,0.4280123929520923,0.436337919466457,0.8329357011812417,319
pad,56,0.5895522388059702,0.5284464289635227,0.3736435123177037,0.8286148427999377,268
hiba,57,0.6457831325301204,0.43995804998512866,0.44820443958719425,0.8243923954433784,415
pad,57,0.6066176470588235,0.4791035353535353,0.3386668928051534,0.8433870784103853,272
hiba,58,0.5883977900552486,0.441999503618694,0.4360494051913476,0.8291674753496079,362
pad,58,0.5516014234875445,0.5350189684867104,0.35129864056586685,0.8441587553744458,281
hiba,59,0.6170212765957447,0.44900701557831846,0.4321787026290702,0.8768884948453346,329
pad,59,0.5641025641025641,0.5511096287825848,0.3811319525446042,0.8629577446989501,273
hiba,60,0.6182432432432432,0.46198293576342353,0.44849757930645634,0.8528715168781846,296
pad,60,0.5503597122302158,0.5198262385762387,0.3623828908935851,0.8380966576897318,278
hiba,61,0.4899328859060403,0.4199356559648585,0.4164766219750031,0.8194648890662712,298
pad,61,0.5555555555555556,0.5692911557041992,0.39979658167296866,0.8195145915229832,270
hiba,62,0.4660493827160494,0.37029609279609277,0.37272498594583836,0.7635751705164715,324
pad,62,0.5693430656934306,0.5650373931623932,0.34085585018459447,0.8528910452569195,274
hiba,63,0.580110497237569,0.41617511704098414,0.39189590087567117,0.8177339888918113,362
pad,63,0.581081081081081,0.527405722692608,0.3624084083170449,0.8521679893593358,296
hiba,64,0.4727272727272727,0.42772074770164753,0.41342133888932614,0.8144508482540844,275
pad,64,0.5856164383561644,0.5433723196881092,0.39888570262227496,0.8438398217736668,292
hiba,65,0.569364161849711,0.42705182496471067,0.40095686651517626,0.8067513719220294,346
pad,65,0.565068493150685,0.49461492808266994,0.3557244490891633,0.829084551747331,292
hiba,66,0.6169590643274854,0.42497834075661084,0.4296220249773202,0.7988075262044798,342
pad,66,0.5656934306569343,0.4874228253560731,0.34456892687492346,0.825859139408356,274
hiba,67,0.5074626865671642,0.4152351680577487,0.4193497353298945,0.8161516414696162,268
pad,67,0.5422535211267606,0.5670550038197097,0.36469716509792327,0.8357585164262455,284
hiba,68,0.5552147239263804,0.46579481792717087,0.4652318998954185,0.8300493830171918,326
pad,68,0.5416666666666666,0.4881332765943512,0.35600223711946766,0.8252547342082454,288
hiba,69,0.5963060686015831,0.42452994833461843,0.3888899668682714,0.8563044374181291,379
