cohort,draw,cls,n,f1,auc
hiba,17,DF,8,0.36363636363636365,0.7864942528735632
hiba,17,VASC,4,0.6666666666666666,0.7727790432801822
hiba,17,SCC,23,0.2608695652173913,0.8589026915113871
pad,17,MEL,9,0.5882352941176471,0.977039770397704
pad,17,NV,8,0.5714285714285714,0.9627757352941176
pad,17,BCC,158,0.6944444444444444,0.7778584768624196
pad,17,AK,53,0.5333333333333333,0.8098661790374866
pad,17,BKL,14,0.5555555555555556,0.9530075187969925
pad,17,DF,0,,
pad,17,VASC,0,,
pad,17,SCC,38,0.2,0.6700195737277077
hiba,18,MEL,61,0.5535714285714286,0.8397340364553479
hiba,18,NV,144,0.7657992565055762,0.9017515051997811
hiba,18,BCC,63,0.6,0.9072769953051643
hiba,18,AK,10,0.21428571428571427,0.8397626112759644
hiba,18,BKL,20,0.30952380952380953,0.8371559633027523
hiba,18,DF,15,0.2727272727272727,0.7728915662650602
hiba,18,VASC,10,0.5714285714285714,0.9118694362017804
hiba,18,SCC,24,0.36363636363636365,0.8539731682146543
pad,18,MEL,10,0.47058823529411764,0.9052830188679246
pad,18,NV,12,0.5,0.9062103929024081
pad,18,BCC,153,0.7202797202797203,0.7959927140255009
pad,18,AK,56,0.576,0.846909654272668
pad,18,BKL,6,0.2857142857142857,0.9560099132589839
pad,18,DF,0,,
pad,18,VASC,0,,
pad,18,SCC,38,0.2857142857142857,0.6847101932045303
hiba,19,MEL,46,0.4819277108433735,0.8107360793287567
hiba,19,NV,105,0.7352941176470589,0.8631727247111862
hiba,19,BCC,60,0.6422018348623854,0.8759345794392523
hiba,19,AK,9,0.14285714285714285,0.8255765199161426
hiba,19,BKL,14,0.2909090909090909,0.768956043956044
hiba,19,DF,11,0.35294117647058826,0.7566539923954373
hiba,19,VASC,6,0.5,0.7786069651741293
hiba,19,SCC,23,0.3181818181818182,0.7822622553265199
pad,19,MEL,8,0.4,0.9600563909774437
pad,19,NV,15,0.6206896551724138,0.9480051480051479
pad,19,BCC,147,0.7058823529411765,0.7880711339653972
pad,19,AK,62,0.6081081081081081,0.8270693852708461
pad,19,BKL,7,0.5454545454545454,0.9796682718031032
pad,19,DF,0,,
pad,19,VASC,0,,
pad,19,SCC,35,0.1791044776119403,0.6007770472205618
hiba,20,MEL,49,0.5869565217391305,0.8783387039026137
hiba,20,NV,161,0.6842105263157895,0.8829210497971494
hiba,20,BCC,58,0.5576923076923077,0.8905547226386806
hiba,20,AK,12,0.1111111111111111,0.8517080745341614
hiba,20,BKL,17,0.18867924528301888,0.7519020226387085
hiba,20,DF,8,0.2222222222222222,0.5728527607361963
hiba,20,VASC,6,0.2857142857142857,0.7413617886178863
hiba,20,SCC,23,0.20833333333333334,0.8045575283098001
pad,20,MEL,8,0.5,0.9695692883895131
pad,20,NV,13,0.5925925925925926,0.9495008807985907
pad,20,BCC,164,0.7074829931972789,0.7861184355086794
pad,20,AK,46,0.5238095238095238,0.8085247769128536
pad,20,BKL,4,0.375,0.9640221402214022
pad,20,DF,0,,
pad,20,VASC,0,,
pad,20,SCC,40,0.21333333333333335,0.6228191489361703
hiba,21,MEL,55,0.5918367346938775,0.8625521267723102
hiba,21,NV,85,0.757396449704142,0.9075093867334167
hiba,21,BCC,65,0.5663716814159292,0.8590236686390533
hiba,21,AK,13,0.30303030303030304,0.8798816568047337
hiba,21,BKL,15,0.25,0.7697674418604651
hiba,21,DF,13,0.2222222222222222,0.7159763313609467
hiba,21,VASC,7,0.25,0.5955961331901182
hiba,21,SCC,20,0.27906976744186046,0.7675889328063241
pad,21,MEL,14,0.5833333333333334,0.9733560090702948
pad,21,NV,9,0.5,0.9684392563769996
pad,21,BCC,146,0.6377952755905512,0.7600456621004567
pad,21,AK,55,0.4892086330935252,0.7632485997414907
pad,21,BKL,8,0.43478260869565216,0.9656007751937985
pad,21,DF,0,,
pad,21,VASC,0,,
pad,21,SCC,34,0.2222222222222222,0.6480096348884381
hiba,22,MEL,49,0.49382716049382713,0.8505779934351363
hiba,22,NV,153,0.6201550387596899,0.8354521295697767
hiba,22,BCC,69,0.5714285714285714,0.8794813119755911
hiba,22,AK,18,0.13953488372093023,0.7232737469330529
hiba,22,BKL,11,0.1782178217821782,0.8240740740740741
hiba,22,DF,6,0.0,0.709726443768997
hiba,22,VASC,14,0.5263157894736842,0.7367601246105919
hiba,22,SCC,15,0.25,0.7679166666666667
pad,22,MEL,12,0.42105263157894735,0.9633699633699634
pad,22,NV,12,0.6666666666666666,0.9374236874236874
pad,22,BCC,169,0.6912751677852349,0.7734135890634565
pad,22,AK,59,0.48175182481751827,0.7727238638068097
pad,22,BKL,5,0.16666666666666666,0.8528571428571429
pad,22,DF,0,,
pad,22,VASC,0,,
pad,22,SCC,28,0.17647058823529413,0.5954002223457476
hiba,23,MEL,46,0.5348837209302325,0.8480151228733459
hiba,23,NV,102,0.6628571428571428,0.8705206220419203
hiba,23,BCC,56,0.5794392523364486,0.884577922077922
hiba,23,AK,15,0.25,0.7943805874840357
hiba,23,BKL,21,0.3333333333333333,0.8399626517273576
hiba,23,DF,9,0.15384615384615385,0.6408655846858093
hiba,23,VASC,5,0.0,0.8332103321033211
hiba,23,SCC,22,0.2857142857142857,0.8042233357193986
pad,23,MEL,9,0.5333333333333333,0.9564102564102563
pad,23,NV,4,0.6,0.9669811320754718
pad,23,BCC,147,0.7191011235955056,0.8046448087431695
pad,23,AK,62,0.5833333333333334,0.8125681782764531
pad,23,BKL,10,0.42857142857142855,0.8891891891891892
pad,23,DF,0,,
