draw,alpha,modality,n,n_mal,coverage,set_size,miss,release,referral
14,0.15,all,354,158,0.8757062146892656,3.0847457627118646,0.03164556962025317,0.2602040816326531,0.8418079096045198
15,0.05,derm,183,87,0.994535519125683,6.229508196721311,0.0,0.0,1.0
15,0.05,clin,18,17,0.9444444444444444,5.777777777777778,0.0,0.0,1.0
15,0.05,both,86,59,0.9418604651162791,6.244186046511628,0.0,0.0,1.0
15,0.05,all,287,163,0.975609756097561,6.205574912891986,0.0,0.0,1.0
15,0.1,derm,183,87,0.9562841530054644,4.191256830601093,0.022988505747126436,0.020833333333333332,0.9781420765027322
15,0.1,clin,18,17,0.8888888888888888,4.166666666666667,0.058823529411764705,0.0,0.9444444444444444
15,0.1,both,86,59,0.9186046511627907,4.4186046511627906,0.0,0.0,1.0
15,0.1,all,287,163,0.9407665505226481,4.2578397212543555,0.018404907975460124,0.016129032258064516,0.9825783972125436
15,0.15,derm,183,87,0.8852459016393442,3.251366120218579,0.022988505747126436,0.125,0.9234972677595629
15,0.15,clin,18,17,0.7222222222222222,3.0,0.058823529411764705,0.0,0.9444444444444444
15,0.15,both,86,59,0.8837209302325582,3.6744186046511627,0.03389830508474576,0.0,0.9767441860465116
15,0.15,all,287,163,0.8745644599303136,3.362369337979094,0.03067484662576687,0.0967741935483871,0.9407665505226481
16,0.05,derm,279,89,0.967741935483871,5.401433691756273,0.0,0.0,1.0
16,0.05,clin,8,8,0.75,5.5,0.0,,1.0
16,0.05,both,88,62,0.8409090909090909,5.568181818181818,0.0,0.0,1.0
16,0.05,all,375,159,0.9333333333333333,5.442666666666667,0.0,0.0,1.0
16,0.1,derm,279,89,0.942652329749104,3.6774193548387095,0.011235955056179775,0.08947368421052632,0.9354838709677419
16,0.1,clin,8,8,0.75,3.625,0.0,,1.0
16,0.1,both,88,62,0.8068181818181818,3.875,0.0,0.0,1.0
16,0.1,all,375,159,0.9066666666666666,3.7226666666666666,0.006289308176100629,0.0787037037037037,0.952
16,0.15,derm,279,89,0.9068100358422939,3.118279569892473,0.02247191011235955,0.18421052631578946,0.8673835125448028
16,0.15,clin,8,8,0.75,2.875,0.0,,1.0
16,0.15,both,88,62,0.7613636363636364,3.4318181818181817,0.03225806451612903,0.0,0.9772727272727273
16,0.15,all,375,159,0.8693333333333333,3.1866666666666665,0.025157232704402517,0.16203703703703703,0.896
17,0.05,derm,350,78,0.9971428571428571,5.897142857142857,0.0,0.0,1.0
17,0.05,clin,15,8,1.0,5.533333333333333,0.0,0.0,1.0
17,0.05,both,78,55,0.9487179487179487,6.461538461538462,0.0,0.0,1.0
17,0.05,all,443,141,0.9887133182844243,5.984198645598194,0.0,0.0,1.0
17,0.1,derm,350,78,0.9885714285714285,4.491428571428571,0.0,0.003676470588235294,0.9971428571428571
17,0.1,clin,15,8,0.9333333333333333,4.133333333333334,0.0,0.0,1.0
17,0.1,both,78,55,0.9230769230769231,5.141025641025641,0.0,0.0,1.0
17,0.1,all,443,141,0.9751693002257337,4.5936794582392775,0.0,0.0033112582781456954,0.9977426636568849
17,0.15,derm,350,78,0.9771428571428571,3.505714285714286,0.0,0.08455882352941177,0.9342857142857143
17,0.15,clin,15,8,0.8666666666666667,3.6,0.0,0.0,1.0
17,0.15,both,78,55,0.9102564102564102,4.17948717948718,0.0,0.0,1.0
17,0.15,all,443,141,0.9616252821670429,3.6275395033860045,0.0,0.076158940397351,0.9480812641083521
18,0.05,derm,243,97,0.9917695473251029,5.777777777777778,0.0,0.0,1.0
18,0.05,clin,21,11,0.9523809523809523,5.333333333333333,0.0,0.0,1.0
18,0.05,both,83,50,0.9397590361445783,5.903614457831325,0.0,0.0,1.0
18,0.05,all,347,158,0.9769452449567724,5.780979827089337,0.0,0.0,1.0
18,0.1,derm,243,97,0.9670781893004116,4.004115226337449,0.0,0.08904109589041095,0.9465020576131687
18,0.1,clin,21,11,0.9047619047619048,3.3333333333333335,0.09090909090909091,0.0,0.9523809523809523
18,0.1,both,83,50,0.9036144578313253,4.168674698795181,0.0,0.0,1.0
18,0.1,all,347,158,0.9481268011527377,4.002881844380403,0.006329113924050633,0.06878306878306878,0.9596541786743515
18,0.15,derm,243,97,0.9094650205761317,2.9753086419753085,0.010309278350515464,0.2808219178082192,0.8271604938271605
