cohort,draw,alpha,stratum,n_cal,degenerate,coverage,coverage_pw,miss_rate,referral,referral_pw,set_size,n_test
hiba,4,0.1,M1,22,False,0.8947368421052632,0.9545454545454546,0.0,1.0,1.0,4.473684210526316,19
hiba,4,0.1,M2,218,False,0.9545454545454546,0.9520833333333334,0.0,1.0,1.0,4.972727272727273,110
hiba,4,0.1,M3,20,False,0.9166666666666666,0.9090909090909091,0.0,1.0,1.0,5.083333333333333,12
hiba,4,0.15,B,183,False,0.9103139013452914,0.8834337349397591,,0.8789237668161435,0.9211560527825589,3.0896860986547083,223
hiba,4,0.15,M1,22,False,0.8947368421052632,0.9545454545454546,0.0,1.0,1.0,3.736842105263158,19
hiba,4,0.15,M2,218,False,0.8636363636363636,0.8822916666666666,0.0,1.0,1.0,4.118181818181818,110
hiba,4,0.15,M3,20,False,0.8333333333333334,0.8181818181818182,0.0,1.0,1.0,4.166666666666667,12
pad,4,0.05,B,86,False,0.9710144927536232,0.9745762711864406,,0.9710144927536232,0.9774011299435029,4.043478260869565,69
pad,4,0.05,M1,22,False,0.9629629629629629,0.9705882352941176,0.0,1.0,1.0,4.148148148148148,27
pad,4,0.05,M2,148,False,0.9652173913043478,0.967741935483871,0.008695652173913044,0.991304347826087,0.989247311827957,4.226086956521739,115
pad,4,0.05,M3,59,False,0.9821428571428571,0.9761904761904762,0.0,1.0,1.0,4.267857142857143,56
pad,4,0.05,M4,8,True,1.0,1.0,0.0,1.0,1.0,5.666666666666667,6
pad,4,0.05,M5,3,True,,,,,,,0
pad,4,0.1,B,86,False,0.9130434782608695,0.9180790960451978,,0.9420289855072463,0.9322033898305084,3.5652173913043477,69
pad,4,0.1,M1,22,False,0.9629629629629629,0.9705882352941176,0.0,1.0,1.0,3.7037037037037037,27
pad,4,0.1,M2,148,False,0.9565217391304348,0.9623655913978495,0.008695652173913044,0.991304347826087,0.989247311827957,3.6,115
pad,4,0.1,M3,59,False,0.9464285714285714,0.9444444444444445,0.0,1.0,1.0,3.5892857142857144,56
pad,4,0.1,M4,8,True,1.0,1.0,0.0,1.0,1.0,5.0,6
pad,4,0.1,M5,3,True,,,,,,,0
pad,4,0.15,B,86,False,0.8985507246376812,0.9011299435028249,,0.9420289855072463,0.9322033898305084,3.0144927536231885,69
