cohort,draw,alpha,scheme,miss_cert,miss_all,worst_group_miss,any_group_over,release,release_pw,set_size,coverage,any_enforced_degenerate,n_test,n_mal,n_ben
hiba,1,0.05,temp,0.03676470588235294,0.03676470588235294,0.05263157894736842,True,0.39436619718309857,0.33617525331811043,,,False,349,136,213
hiba,1,0.06,mondrian,0.0,0.0,0.0,False,0.0,0.0,6.034383954154728,0.9828080229226361,False,349,136,213
hiba,1,0.06,marginal,0.0,0.0,0.0,False,0.009389671361502348,0.002664002664002664,5.137535816618911,0.9742120343839542,False,349,136,213
hiba,1,0.06,softmax,0.051470588235294115,0.051470588235294115,0.09090909090909091,True,0.30985915492957744,0.24892678749821606,,,False,349,136,213
hiba,1,0.06,temp,0.03676470588235294,0.03676470588235294,0.05263157894736842,False,0.460093896713615,0.3668203225346083,,,False,349,136,213
hiba,1,0.08,mondrian,0.0,0.0,0.0,False,0.004694835680751174,0.0012987012987012987,4.994269340974212,0.9627507163323782,False,349,136,213
hiba,1,0.08,marginal,0.0,0.0,0.0,False,0.018779342723004695,0.01694971694971695,4.624641833810888,0.9570200573065902,False,349,136,213
hiba,1,0.08,softmax,0.058823529411764705,0.058823529411764705,0.09090909090909091,True,0.3474178403755869,0.2884230055658627,,,False,349,136,213
hiba,1,0.08,temp,0.07352941176470588,0.07352941176470588,0.18181818181818182,True,0.596244131455399,0.491126492555064,,,False,349,136,213
hiba,1,0.1,mondrian,0.0,0.0,0.0,False,0.04225352112676056,0.024442224442224443,4.26647564469914,0.9484240687679083,False,349,136,213
hiba,1,0.1,marginal,0.0,0.0,0.0,False,0.023474178403755867,0.019114219114219115,4.300859598853868,0.9512893982808023,False,349,136,213
hiba,1,0.1,softmax,0.0661764705882353,0.0661764705882353,0.09090909090909091,False,0.39906103286384975,0.31149374435088717,,,False,349,136,213
hiba,1,0.1,temp,0.07352941176470588,0.07352941176470588,0.18181818181818182,True,0.6197183098591549,0.5149360163645879,,,False,349,136,213
hiba,1,0.12,mondrian,0.0,0.0,0.0,False,0.051643192488262914,0.027106227106227107,4.048710601719198,0.9398280802292264,False,349,136,213
hiba,1,0.12,marginal,0.007352941176470588,0.007352941176470588,0.009433962264150943,False,0.06103286384976526,0.03193473193473194,3.8567335243553007,0.9340974212034384,False,349,136,213
hiba,1,0.12,softmax,0.10294117647058823,0.10294117647058823,0.15789473684210525,True,0.5821596244131455,0.5376566290852005,,,False,349,136,213
hiba,1,0.12,temp,0.10294117647058823,0.10294117647058823,0.18181818181818182,True,0.6666666666666666,0.5517449217449217,,,False,349,136,213
hiba,1,0.15,mondrian,0.014705882352941176,0.014705882352941176,0.018867924528301886,False,0.09389671361502347,0.06756576756576757,3.5644699140401146,0.9197707736389685,False,349,136,213
hiba,1,0.15,marginal,0.007352941176470588,0.007352941176470588,0.009433962264150943,False,0.12206572769953052,0.051094143951286815,3.2464183381088825,0.9197707736389685,False,349,136,213
hiba,1,0.15,softmax,0.15441176470588236,0.15441176470588236,0.21052631578947367,True,0.704225352112676,0.6222720137005852,,,False,349,136,213
