cohort,draw,variant,alpha,group,tau,T,miss,n_mal,release,n_ben
pad,1,temp,0.05,0,0.3796865178475929,3.765343072991042,,,0.631578947368421,19.0
pad,1,temp,0.1,1,0.0,3.765343072991042,0.0,26.0,,
pad,1,temp,0.1,2,0.0,3.765343072991042,0.057692307692307696,156.0,,
pad,1,temp,0.1,3,0.0,3.765343072991042,0.04081632653061224,49.0,,
pad,1,temp,0.1,4,0.0,3.765343072991042,0.16666666666666666,6.0,,
pad,1,temp,0.1,5,0.0,3.765343072991042,0.0,1.0,,
pad,1,temp,0.1,0,0.0,3.765343072991042,,,0.7368421052631579,19.0
pad,1,temp,0.15,1,0.0,3.765343072991042,0.0,26.0,,
pad,1,temp,0.15,2,0.0,3.765343072991042,0.057692307692307696,156.0,,
pad,1,temp,0.15,3,0.0,3.765343072991042,0.04081632653061224,49.0,,
pad,1,temp,0.15,4,0.0,3.765343072991042,0.16666666666666666,6.0,,
pad,1,temp,0.15,5,0.0,3.765343072991042,0.0,1.0,,
pad,1,temp,0.15,0,0.0,3.765343072991042,,,0.7368421052631579,19.0
hiba,2,softmax,0.05,1,0.9830216461227284,1.0,0.0,12.0,,
hiba,2,softmax,0.05,2,0.9830216461227284,1.0,0.06299212598425197,127.0,,
hiba,2,softmax,0.05,3,0.9830216461227284,1.0,0.0,12.0,,
hiba,2,softmax,0.05,0,0.9830216461227284,1.0,,,0.25471698113207547,106.0
hiba,2,softmax,0.1,1,0.9124559383272179,1.0,0.08333333333333333,12.0,,
hiba,2,softmax,0.1,2,0.9124559383272179,1.0,0.11023622047244094,127.0,,
hiba,2,softmax,0.1,3,0.9124559383272179,1.0,0.08333333333333333,12.0,,
hiba,2,softmax,0.1,0,0.9124559383272179,1.0,,,0.46226415094339623,106.0
hiba,2,softmax,0.15,1,0.7698540731249184,1.0,0.08333333333333333,12.0,,
hiba,2,softmax,0.15,2,0.7698540731249184,1.0,0.14960629921259844,127.0,,
hiba,2,softmax,0.15,3,0.7698540731249184,1.0,0.08333333333333333,12.0,,
hiba,2,softmax,0.15,0,0.7698540731249184,1.0,,,0.6226415094339622,106.0
hiba,2,temp,0.05,1,0.4558265867847194,5.415452732552373,0.0,12.0,,
hiba,2,temp,0.05,2,0.4558265867847194,5.415452732552373,0.047244094488188976,127.0,,
hiba,2,temp,0.05,3,0.4558265867847194,5.415452732552373,0.0,12.0,,
hiba,2,temp,0.05,0,0.4558265867847194,5.415452732552373,,,0.3490566037735849,106.0
hiba,2,temp,0.1,1,0.36033174859102235,5.415452732552373,0.0,12.0,,
hiba,2,temp,0.1,2,0.36033174859102235,5.415452732552373,0.11023622047244094,127.0,,
hiba,2,temp,0.1,3,0.36033174859102235,5.415452732552373,0.16666666666666666,12.0,,
hiba,2,temp,0.1,0,0.36033174859102235,5.415452732552373,,,0.5754716981132075,106.0
hiba,2,temp,0.15,1,0.3237777215514244,5.415452732552373,0.08333333333333333,12.0,,
hiba,2,temp,0.15,2,0.3237777215514244,5.415452732552373,0.15748031496062992,127.0,,
hiba,2,temp,0.15,3,0.3237777215514244,5.415452732552373,0.16666666666666666,12.0,,
hiba,2,temp,0.15,0,0.3237777215514244,5.415452732552373,,,0.6698113207547169,106.0
pad,2,softmax,0.05,1,0.3895924011467712,1.0,0.0,24.0,,
pad,2,softmax,0.05,2,0.3895924011467712,1.0,0.05714285714285714,140.0,,
pad,2,softmax,0.05,3,0.3895924011467712,1.0,0.036585365853658534,82.0,,
pad,2,softmax,0.05,4,0.3895924011467712,1.0,0.2,5.0,,
pad,2,softmax,0.05,5,0.3895924011467712,1.0,0.0,2.0,,
pad,2,softmax,0.05,0,0.3895924011467712,1.0,,,0.7727272727272727,22.0
pad,2,softmax,0.1,1,0.0,1.0,0.0,24.0,,
pad,2,softmax,0.1,2,0.0,1.0,0.05714285714285714,140.0,,
pad,2,softmax,0.1,3,0.0,1.0,0.036585365853658534,82.0,,
pad,2,softmax,0.1,4,0.0,1.0,0.2,5.0,,
pad,2,softmax,0.1,5,0.0,1.0,0.0,2.0,,
pad,2,softmax,0.1,0,0.0,1.0,,,0.7727272727272727,22.0
pad,2,softmax,0.15,1,0.0,1.0,0.0,24.0,,
pad,2,softmax,0.15,2,0.0,1.0,0.05714285714285714,140.0,,
pad,2,softmax,0.15,3,0.0,1.0,0.036585365853658534,82.0,,
pad,2,softmax,0.15,4,0.0,1.0,0.2,5.0,,
pad,2,softmax,0.15,5,0.0,1.0,0.0,2.0,,
pad,2,softmax,0.15,0,0.0,1.0,,,0.7727272727272727,22.0
pad,2,temp,0.05,1,0.2655709700652973,3.756567006065633,0.0,24.0,,
pad,2,temp,0.05,2,0.2655709700652973,3.756567006065633,0.05714285714285714,140.0,,
pad,2,temp,0.05,3,0.2655709700652973,3.756567006065633,0.036585365853658534,82.0,,
pad,2,temp,0.05,4,0.2655709700652973,3.756567006065633,0.2,5.0,,
pad,2,temp,0.05,5,0.2655709700652973,3.756567006065633,0.0,2.0,,
pad,2,temp,0.05,0,0.2655709700652973,3.756567006065633,,,0.7727272727272727,22.0
pad,2,temp,0.1,1,0.0,3.756567006065633,0.0,24.0,,
pad,2,temp,0.1,2,0.0,3.756567006065633,0.05714285714285714,140.0,,
pad,2,temp,0.1,3,0.0,3.756567006065633,0.036585365853658534,82.0,,
pad,2,temp,0.1,4,0.0,3.756567006065633,0.2,5.0,,
pad,2,temp,0.1,5,0.0,3.756567006065633,0.0,2.0,,
pad,2,temp,0.1,0,0.0,3.756567006065633,,,0.7727272727272727,22.0
pad,2,temp,0.15,1,0.0,3.756567006065633,0.0,24.0,,
