cohort,draw,alpha,stratum,n_cal,degenerate,coverage,coverage_pw,miss_rate,referral,referral_pw,set_size,n_test
pad,1,0.05,cov-NV,,,1.0,,,,,,7
pad,1,0.05,cov-BCC,,,0.9940119760479041,,,,,,167
pad,1,0.05,sens-BCC,,,,,,1.0,,,167
pad,1,0.05,cov-AK,,,0.9411764705882353,,,,,,68
pad,1,0.05,sens-AK,,,,,,1.0,,,68
pad,1,0.05,cov-BKL,,,1.0,,,,,,8
pad,1,0.05,cov-SCC,,,0.9696969696969697,,,,,,33
pad,1,0.05,sens-SCC,,,,,,1.0,,,33
pad,1,0.1,B,25.0,False,1.0,1.0,,1.0,1.0,4.266666666666667,15
pad,1,0.1,M1,25.0,False,0.84,0.861111111111111,0.0,1.0,1.0,3.6,25
pad,1,0.1,M2,152.0,False,0.9761904761904762,0.9757834757834757,0.0,1.0,1.0,3.8392857142857144,168
pad,1,0.1,M3,73.0,False,0.9117647058823529,0.8723404255319149,0.0,1.0,1.0,3.514705882352941,68
pad,1,0.1,M4,6.0,True,1.0,1.0,0.0,1.0,1.0,5.142857142857143,14
pad,1,0.1,M5,2.0,True,1.0,1.0,0.0,1.0,1.0,5.25,4
pad,1,0.1,cov-MEL,,,0.9090909090909091,,,,,,11
pad,1,0.1,sens-MEL,,,,,,1.0,,,11
pad,1,0.1,cov-NV,,,1.0,,,,,,7
pad,1,0.1,cov-BCC,,,0.9880239520958084,,,,,,167
pad,1,0.1,sens-BCC,,,,,,1.0,,,167
pad,1,0.1,cov-AK,,,0.9264705882352942,,,,,,68
pad,1,0.1,sens-AK,,,,,,1.0,,,68
pad,1,0.1,cov-BKL,,,1.0,,,,,,8
pad,1,0.1,cov-SCC,,,0.8181818181818182,,,,,,33
pad,1,0.1,sens-SCC,,,,,,1.0,,,33
pad,1,0.15,B,25.0,False,1.0,1.0,,0.9333333333333333,0.9285714285714286,2.6666666666666665,15
pad,1,0.15,M1,25.0,False,0.8,0.7944444444444444,0.0,1.0,1.0,2.48,25
pad,1,0.15,M2,152.0,False,0.9702380952380952,0.9736467236467236,0.0,1.0,1.0,2.9702380952380953,168
pad,1,0.15,M3,73.0,False,0.8970588235294118,0.8670212765957447,0.0,1.0,1.0,2.735294117647059,68
pad,1,0.15,M4,6.0,False,0.5714285714285714,0.5757575757575757,0.0,1.0,1.0,1.7142857142857142,14
pad,1,0.15,M5,2.0,True,1.0,1.0,0.0,1.0,1.0,4.5,4
pad,1,0.15,cov-MEL,,,0.9090909090909091,,,,,,11
pad,1,0.15,sens-MEL,,,,,,1.0,,,11
pad,1,0.15,cov-NV,,,1.0,,,,,,7
pad,1,0.15,cov-BCC,,,0.9700598802395209,,,,,,167
pad,1,0.15,sens-BCC,,,,,,1.0,,,167
pad,1,0.15,cov-AK,,,0.8970588235294118,,,,,,68
pad,1,0.15,sens-AK,,,,,,1.0,,,68
pad,1,0.15,cov-BKL,,,1.0,,,,,,8
pad,1,0.15,cov-SCC,,,0.696969696969697,,,,,,33
pad,1,0.15,sens-SCC,,,,,,1.0,,,33
hiba,2,0.05,B,169.0,False,0.9878048780487805,0.9782608695652174,,1.0,1.0,5.597560975609756,164
hiba,2,0.05,M1,29.0,False,1.0,1.0,0.0,1.0,1.0,6.818181818181818,11
hiba,2,0.05,M2,223.0,False,0.9596774193548387,0.9510869565217391,0.0,1.0,1.0,6.653225806451613,124
hiba,2,0.05,M3,20.0,False,0.8125,0.7857142857142857,0.0,1.0,1.0,5.125,16
hiba,2,0.05,cov-MEL,,,1.0,,,,,,45
hiba,2,0.05,sens-MEL,,,,,,1.0,,,45
hiba,2,0.05,cov-NV,,,1.0,,,,,,128
hiba,2,0.05,cov-BCC,,,0.984375,,,,,,64
hiba,2,0.05,sens-BCC,,,,,,1.0,,,64
hiba,2,0.05,cov-AK,,,0.9166666666666666,,,,,,12
hiba,2,0.05,sens-AK,,,,,,1.0,,,12
hiba,2,0.05,cov-BKL,,,1.0,,,,,,17
hiba,2,0.05,cov-DF,,,0.8,,,,,,10
hiba,2,0.05,cov-VASC,,,1.0,,,,,,9
hiba,2,0.05,cov-SCC,,,0.8,,,,,,30
hiba,2,0.05,sens-SCC,,,,,,1.0,,,30
hiba,2,0.1,B,169.0,False,0.9634146341463414,0.9371980676328503,,1.0,1.0,3.707317073170732,164
hiba,2,0.1,M1,29.0,False,0.7272727272727273,0.7,0.0,1.0,1.0,4.2727272727272725,11
hiba,2,0.1,M2,223.0,False,0.9274193548387096,0.9266304347826086,0.0,1.0,1.0,4.483870967741935,124
hiba,2,0.1,M3,20.0,False,0.8125,0.7857142857142857,0.0,1.0,1.0,3.8125,16
hiba,2,0.1,cov-MEL,,,0.9777777777777777,,,,,,45
hiba,2,0.1,sens-MEL,,,,,,1.0,,,45
hiba,2,0.1,cov-NV,,,1.0,,,,,,128
hiba,2,0.1,cov-BCC,,,0.921875,,,,,,64
hiba,2,0.1,sens-BCC,,,,,,1.0,,,64
hiba,2,0.1,cov-AK,,,0.9166666666666666,,,,,,12
hiba,2,0.1,sens-AK,,,,,,1.0,,,12
hiba,2,0.1,cov-BKL,,,1.0,,,,,,17
hiba,2,0.1,cov-DF,,,0.5,,,,,,10
hiba,2,0.1,cov-VASC,,,0.8888888888888888,,,,,,9
hiba,2,0.1,cov-SCC,,,0.7333333333333333,,,,,,30
hiba,2,0.1,sens-SCC,,,,,,1.0,,,30
hiba,2,0.15,B,169.0,False,0.9207317073170732,0.8454106280193237,,1.0,1.0,3.0853658536585367,164
hiba,2,0.15,M1,29.0,False,0.7272727272727273,0.7,0.0,1.0,1.0,3.272727272727273,11
hiba,2,0.15,M2,223.0,False,0.8951612903225806,0.9039855072463768,0.0,1.0,1.0,3.524193548387097,124
hiba,2,0.15,M3,20.0,False,0.75,0.75,0.0,1.0,1.0,2.875,16
hiba,2,0.15,cov-MEL,,,0.9555555555555556,,,,,,45
hiba,2,0.15,sens-MEL,,,,,,1.0,,,45
hiba,2,0.15,cov-NV,,,0.9921875,,,,,,128
hiba,2,0.15,cov-BCC,,,0.890625,,,,,,64
hiba,2,0.15,sens-BCC,,,,,,1.0,,,64
hiba,2,0.15,cov-AK,,,0.9166666666666666,,,,,,12
hiba,2,0.15,sens-AK,,,,,,1.0,,,12
hiba,2,0.15,cov-BKL,,,0.8823529411764706,,,,,,17
hiba,2,0.15,cov-DF,,,0.5,,,,,,10
hiba,2,0.15,cov-VASC,,,0.4444444444444444,,,,,,9
hiba,2,0.15,cov-SCC,,,0.6666666666666666,,,,,,30
hiba,2,0.15,sens-SCC,,,,,,1.0,,,30
pad,2,0.05,B,26.0,False,0.9375,0.9230769230769231,,1.0,1.0,4.1875,16
pad,2,0.05,M1,24.0,False,1.0,1.0,0.0,1.0,1.0,4.413793103448276,29
pad,2,0.05,M2,153.0,False,0.9269662921348315,0.9341133004926109,0.0,1.0,1.0,3.9775280898876404,178
